"idpub","brdxdy","sexrsp","deatyr","POP57","PI5760","DGLEV","EDYRCM","YRER74","RU024REC","MZ023RER","GI503RE","gu024re","IZ023RER","HD201KD","hi503rea","HU024RE","jz023rer","q1i503rea","Q1U024RE","q1c003re","q1z023rer"
926456,1939,2,-2,6,48,-2,-2,7,-2,4,-2,-2,3,2,-2,-2,-29,NA,NA,NA,NA
926468,1939,2,-2,6,120,3,-3,-3,-2,NA,-2,-2,10,2,-2,-2,10,NA,NA,NA,NA
926474,1939,1,-2,6,347,4,8,400,0,2,6,0,4,10,10,-2,4,7,-2,1,12
926481,1940,2,-2,9,-3,-2,-2,0,-2,3,6,-2,1,5,6,-2,2,5,-2,2,0
926482,1939,2,1966,6,39,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926484,1939,2,-2,2,15,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926486,1939,1,2002,3,44,-2,-2,85,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926488,1939,1,-2,3,59,4,7,165,0,1,10,0,2,4,10,-2,5,9,-2,2,3
926489,1939,2,1993,5,44,-2,-2,70,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926490,1939,1,2018,4,-3,-2,0,210,2,4,7,0,1,3,12,3,3,NA,NA,NA,NA
926491,1939,1,1995,2,11,-2,-2,150,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926494,1939,1,2004,6,194,3,6,380,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926495,1939,2,-2,4,44,-2,-2,61,0,0,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA
926500,1938,1,2000,5,83,-2,-2,220,-2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926501,1939,1,-2,5,71,-2,0,162,0,3,7,0,10,2,7,-2,3,0,-2,1,0
926503,1939,1,2022,3,44,-2,3,85,0,6,6,0,1,3,7,-2,4,1,-2,1,7
926504,1939,2,-2,9,66,-2,2,0,0,NA,5,0,NA,9,8,-2,NA,9,-2,2,0
