"idpub","brdxdy","sexrsp","deatyr","POP57","PI5760","DGLEV","EDYRCM","YRER74","RU024REC","MZ023RER","GI503RE","gu024re","IZ023RER","HD201KD","hi503rea","HU024RE","jz023rer","q1i503rea","Q1U024RE","q1c003re","q1z023rer"
900018,1939,1,1963,3,-3,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900021,1938,1,-2,9,26,3,-3,-3,0,3,8,0,2,4,6,-2,2,6,-2,1,0
900024,1939,2,-2,3,64,-2,-2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900026,1939,1,-2,4,49,4,9,250,5,6,6,5,6,3,6,-2,1,3,-2,3,0
900034,1938,1,-2,2,34,-2,-2,75,-2,NA,-2,-2,NA,2,-2,-2,1,NA,NA,NA,NA
900035,1939,1,-2,3,31,-2,-2,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
900042,1939,1,-2,3,63,-2,-2,136,0,12,8,0,2,3,8,-2,4,6,-2,3,7
900043,1938,1,-2,9,84,-2,2,200,-2,NA,9,7,1,2,10,-2,8,5,-2,1,10
900054,1939,1,2005,4,89,-2,-2,247,0,3,6,0,3,NA,NA,NA,NA,NA,NA,NA,NA
900069,1939,1,-2,8,100,3,10,110,0,2,8,0,6,3,6,-2,4,9,-2,1,24
900071,1940,1,-2,9,-3,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900074,1939,2,1994,6,26,-2,-2,0,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900075,1939,2,-2,4,20,-2,-2,0,0,2,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA
900078,1939,2,-2,7,68,-2,-2,14,-2,6,10,4,8,4,9,-2,16,8,-2,2,3
900079,1939,1,2014,2,28,-2,0,50,0,2,6,0,0,4,10,-2,NA,NA,NA,NA,NA
900083,1939,1,1999,5,56,-2,-2,130,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900094,1939,2,-2,4,56,-2,-3,-3,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
900096,1939,1,2017,9,91,3,6,300,0,1,11,0,NA,4,4,-2,4,NA,NA,NA,NA
900101,1939,2,-2,3,80,-2,-2,50,-2,6,-2,-2,6,2,-30,-30,4,NA,NA,NA,NA
900106,1939,1,2020,4,44,3,5,140,0,0,8,0,1,2,7,-2,0,NA,NA,NA,NA
900115,1939,2,2010,2,40,-2,2,0,7,6,9,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
900117,1939,2,-2,3,-3,-2,-2,6,0,4,6,0,4,2,6,-2,4,5,0,1,2
900126,1939,1,2013,7,68,-2,-3,-3,0,NA,7,0,10,5,0,-2,NA,NA,NA,NA,NA
900134,1939,2,-2,2,14,2,5,155,0,NA,2,0,2,1,4,-2,3,4,-2,1,4
900145,1939,1,-2,2,31,2,4,135,0,1,10,0,1,2,5,5,2,4,-2,1,15
900147,1939,1,-2,2,4,-2,-2,135,0,4,5,-2,4,4,6,-2,-29,0,-2,1,0
900148,1939,1,-2,4,-3,2,4,170,0,1,NA,NA,1,6,7,-2,-29,8,-2,1,0
900151,1939,1,-2,4,42,-2,-2,100,0,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
900154,1939,2,2020,7,60,-2,-2,80,-2,7,-2,-2,NA,1,-2,-2,NA,NA,NA,NA,NA
900159,1939,2,-2,5,103,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900166,1939,2,-2,3,-3,2,4,16,0,NA,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA
900167,1939,2,-2,6,61,-2,-2,60,0,NA,10,6,12,3,8,-2,4,8,-2,1,6
900170,1938,2,-2,2,50,-2,-2,0,4,NA,4,5,NA,3,6,5,2,NA,NA,NA,NA
900174,1939,1,2020,5,7,3,6,120,0,4,5,0,2,1,6,-2,10,NA,NA,NA,NA
900176,1939,2,-2,3,-3,-2,-2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900177,1939,2,2018,4,54,-2,-2,18,-2,3,-2,-2,14,3,-2,-2,4,NA,NA,NA,NA
900181,1939,2,-2,2,36,2,4,63,0,2,11,0,2,5,10,-2,8,7,-2,1,1
900183,1939,2,2019,2,22,-2,-2,9,0,4,6,0,1,2,6,2,1,NA,NA,NA,NA
900189,1939,1,-2,9,114,3,8,240,0,3,5,0,2,2,10,5,0,6,-2,1,0
900197,1939,2,2019,2,26,-2,-2,120,0,4,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA
900205,1939,1,2017,9,-3,-2,2,190,-2,1,-2,-2,2,2,-30,-30,5,NA,NA,NA,NA
900207,1938,2,-2,5,46,-2,-2,0,-2,3,-2,-2,2,3,-2,-2,3,9,-2,1,2
900208,1939,2,-2,6,52,-2,-2,10,-3,NA,7,5,5,4,8,-2,2,6,6,1,1
900209,1939,1,-2,3,20,-2,-2,180,0,3,9,0,4,2,10,-2,1,0,6,1,1
900214,1938,1,2010,2,22,-2,-2,83,-2,NA,-5,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
900215,1939,2,-2,7,97,2,4,0,0,16,6,0,4,4,-30,-30,8,6,-2,1,10
900217,1939,1,-2,4,60,3,6,0,0,1,9,0,2,3,11,-2,4,0,-2,1,4
900218,1939,2,-2,6,69,-2,-2,17,7,0,6,4,1,4,10,-2,0,8,-2,3,3
900221,1939,1,2016,8,-3,2,4,56,-3,NA,-5,-5,2,5,6,-2,5,NA,NA,NA,NA
900226,1939,2,-2,4,107,-2,1,0,-2,NA,5,6,NA,10,5,2,NA,2,-2,2,0
900229,1938,1,2018,2,19,-2,-2,180,0,2,1,0,4,4,0,-2,0,NA,NA,NA,NA
900232,1939,1,1990,2,10,-2,-2,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900233,1938,1,2001,8,95,2,4,159,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900236,1939,2,2014,9,27,-2,-2,20,0,4,8,0,12,NA,NA,NA,NA,NA,NA,NA,NA
900241,1939,1,-2,4,72,2,4,0,0,3,10,0,3,NA,NA,NA,NA,NA,NA,NA,NA
900243,1938,1,-2,2,13,-2,-2,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900244,1939,2,2019,9,49,-2,-2,0,0,2,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA
900247,1938,2,-2,3,25,-2,-2,50,-2,1,-2,-2,1,0,-2,-2,-29,NA,NA,NA,NA
900249,1939,1,2021,6,38,-2,-3,-3,-2,NA,-2,-2,NA,0,-2,-2,NA,NA,NA,NA,NA
900252,1939,2,-2,9,104,2,4,100,0,4,10,0,2,2,10,5,2,6,-2,1,3
900255,1939,2,-2,3,76,-2,-2,30,NA,NA,-2,-2,1,NA,NA,NA,NA,NA,NA,NA,NA
900260,1939,1,-2,9,51,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900267,1939,1,-2,4,35,-2,-2,134,0,1,7,0,6,2,10,-2,0,6,-2,1,0
900268,1938,2,2016,6,6,-2,0,0,-2,4,-5,-2,NA,2,-2,-5,NA,NA,NA,NA,NA
900271,1939,2,-2,3,35,-2,-2,0,2,2,8,0,2,2,7,-2,NA,6,-2,1,0
900273,1938,1,2019,6,-3,-2,-2,236,0,4,6,0,4,3,11,-2,3,NA,NA,NA,NA
900274,1940,2,-2,4,135,-2,1,52,0,4,6,0,2,3,5,-2,4,7,-2,1,6
900275,1939,2,-2,7,130,-2,2,40,-2,5,-2,-2,1,2,-2,-2,2,NA,NA,NA,NA
900281,1939,2,2010,6,58,-2,-2,30,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900283,1939,1,-2,2,55,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900286,1939,1,-2,5,32,-2,-2,160,0,8,3,0,4,2,4,-2,10,5,-2,1,0
900295,1938,1,-2,4,24,-2,-2,120,0,4,4,0,2,4,9,-2,NA,NA,NA,NA,NA
900299,1940,2,-2,2,24,-2,-2,0,0,2,6,0,0,5,8,-2,4,0,1,2,6
900308,1939,2,2007,9,222,-2,1,30,0,2,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
900309,1940,1,-2,9,5,2,4,160,0,0,10,0,1,2,9,-2,1,6,-2,1,2
900310,1939,2,-2,9,56,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900311,1939,1,1995,3,52,-2,-3,-3,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900316,1939,2,-2,2,20,-2,-2,60,0,2,9,5,3,3,9,-2,6,NA,NA,NA,NA
900317,1939,2,-2,3,42,-2,-2,0,0,4,5,0,3,0,7,-2,9,0,-2,1,1
900318,1938,1,1996,2,41,-2,0,98,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900329,1939,2,2022,2,12,-2,3,15,0,0,7,0,3,3,6,-2,10,NA,NA,NA,NA
900330,1939,1,-2,9,58,-2,2,90,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
900332,1939,1,2022,2,63,-2,-2,97,-2,4,-2,-2,-3,10,-2,-2,2,NA,NA,NA,NA
900345,1939,1,2021,6,98,-2,-2,250,0,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
900347,1939,1,2004,2,60,-2,-2,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900348,1938,1,2015,2,35,-2,-2,96,0,6,4,0,6,5,6,-2,2,NA,NA,NA,NA
900349,1939,2,-2,6,432,3,6,0,-2,7,-2,-2,8,2,-2,-2,8,NA,NA,NA,NA
900351,1937,1,1994,5,187,-2,1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900352,1939,2,-2,5,52,-2,1,12,0,2,6,0,2,4,9,-2,4,6,-2,1,10
900353,1939,2,-2,6,56,-2,1,146,-2,5,-2,-2,8,2,-2,-2,4,NA,NA,NA,NA
900354,1939,1,-2,4,73,-2,-2,143,-2,1,10,0,2,6,8,-2,0,8,-2,4,0
900359,1939,2,-2,6,87,2,4,0,0,3,9,5,3,2,12,-2,12,8,-2,1,2
900361,1939,1,-2,7,231,-2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900365,1939,2,2020,2,58,-2,-2,10,7,4,6,5,4,3,6,-2,6,NA,NA,NA,NA
900369,1938,1,2022,4,30,4,7,650,0,2,11,0,0,1,10,-2,0,6,-2,1,0
900371,1939,1,2022,2,71,4,8,540,0,1,11,0,1,2,11,4,0,7,3,2,0
900382,1939,2,-2,6,62,-2,-2,10,0,4,8,0,10,NA,NA,NA,NA,NA,NA,NA,NA
900384,1939,2,2005,3,51,-2,-2,22,-2,1,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA
900387,1938,2,2018,3,5,-2,-2,50,0,10,10,0,3,NA,NA,NA,NA,NA,NA,NA,NA
900389,1939,2,2007,6,34,2,4,0,0,8,5,0,12,NA,NA,NA,NA,NA,NA,NA,NA
900391,1937,1,-2,6,29,-2,-2,150,0,2,4,0,0,4,4,-2,20,4,1,1,0
900392,1939,1,-2,3,-3,-2,2,255,0,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
900394,1938,2,-2,9,80,-2,-2,100,-2,8,-2,-2,NA,8,-2,-2,-29,4,5,2,2
900395,1938,1,1973,9,55,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900396,1939,1,2015,2,-3,3,5,190,-2,2,10,0,5,5,10,3,0,NA,NA,NA,NA
900397,1940,2,2011,4,53,-2,-2,35,0,2,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA
900400,1939,1,2022,9,32,-2,-2,120,-2,1,-2,-2,2,3,-2,-2,1,NA,NA,NA,NA
900402,1939,2,-2,3,77,-2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900404,1940,2,1987,7,110,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900406,1939,1,2018,4,121,-2,1,140,0,1,6,0,2,2,8,-2,4,NA,NA,NA,NA
900408,1938,2,2015,5,72,-2,-2,80,0,NA,12,0,3,0,4,-2,NA,NA,NA,NA,NA
900409,1938,2,-2,5,-3,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900412,1939,2,-2,7,73,-2,-2,120,0,4,11,0,4,0,5,-2,4,NA,NA,NA,NA
900416,1939,2,-2,7,55,-2,2,90,0,3,7,0,0,2,6,-2,8,8,-2,2,21
900418,1938,1,-2,7,48,-2,-2,140,0,0,5,0,8,2,5,-2,8,5,-2,1,2
900419,1939,1,-2,4,50,-2,1,100,0,NA,10,0,4,4,7,-2,NA,5,-2,1,2
900420,1939,1,-2,4,54,2,5,190,0,1,6,0,1,5,5,-2,6,5,-2,2,3
900424,1940,2,-2,9,58,-2,0,84,-2,0,-2,-2,0,2,-2,-2,0,6,1,1,0
900426,1939,1,2018,7,97,-2,-2,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900431,1939,2,-2,5,103,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900434,1937,2,-2,5,42,-2,-2,20,0,12,10,0,12,4,7,-2,NA,0,-2,1,0
900440,1939,2,-2,3,187,-2,2,0,0,NA,6,0,4,4,6,-2,-29,6,-2,1,1
900441,1939,2,-2,2,38,-2,-2,0,-2,6,-2,-2,0,4,-2,-2,-29,NA,NA,NA,NA
900447,1939,2,1969,2,22,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900452,1939,1,-2,5,70,-2,-2,200,0,6,8,0,5,3,7,-2,4,6,-2,2,0
900455,1939,1,-2,9,37,-2,2,145,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900458,1938,1,2016,7,85,2,4,220,0,2,8,0,-3,NA,NA,NA,NA,NA,NA,NA,NA
900461,1939,2,-2,4,98,-2,3,0,0,NA,4,0,NA,3,5,-2,NA,NA,NA,NA,NA
900463,1939,1,2020,4,39,2,5,120,0,4,9,0,1,3,5,5,0,NA,NA,NA,NA
900468,1939,2,-2,5,49,-2,-2,0,-2,5,-2,-2,1,5,-2,-2,3,NA,NA,NA,NA
900470,1939,1,-2,5,96,2,5,250,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900471,1939,1,-2,4,89,2,4,200,-2,4,-2,-2,0,2,-2,-2,4,NA,NA,NA,NA
900475,1939,2,-2,2,67,-2,-2,0,0,0,11,0,0,4,8,4,2,8,2,1,1
900476,1939,2,-2,5,34,-2,-2,40,0,2,8,0,0,NA,NA,NA,NA,10,-2,1,1
900479,1939,2,-2,9,93,2,4,150,-2,3,-2,-2,1,NA,NA,NA,NA,NA,NA,NA,NA
900481,1939,1,-2,3,62,-2,-3,-3,0,2,NA,NA,0,2,6,-2,NA,NA,NA,NA,NA
900484,1939,2,2012,7,60,-2,-2,0,7,8,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
900488,1939,2,-2,7,61,-2,-2,10,0,8,12,0,16,4,8,-2,8,-5,-2,-5,2
900491,1940,1,2002,2,9,-2,-2,110,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900497,1939,1,1994,3,22,-2,4,250,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900501,1938,1,2020,6,70,-2,-2,120,0,6,4,0,1,2,5,-2,0,NA,NA,NA,NA
900506,1939,1,2021,4,14,-2,-2,75,-2,6,-2,-2,NA,3,-2,-2,0,NA,NA,NA,NA
900508,1940,2,-2,3,21,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900511,1938,2,-2,2,84,-2,-2,12,0,9,4,0,5,6,4,-2,6,NA,NA,NA,NA
900515,1939,1,2022,2,64,-2,-2,105,0,3,10,0,0,2,10,-2,2,7,-2,1,6
900526,1939,1,-2,4,84,2,5,250,0,4,6,0,0,3,6,-2,1,6,-2,3,0
900537,1939,2,-2,4,84,2,4,98,0,5,10,6,14,3,6,-2,-29,7,-2,1,8
900541,1939,1,-2,4,-3,2,6,100,0,1,10,0,1,1,5,-2,NA,6,-2,1,1
900545,1939,1,2021,5,59,-2,-2,167,4,2,3,0,6,4,0,-2,2,NA,NA,NA,NA
900551,1939,1,-2,3,49,-2,0,140,0,0,6,0,0,NA,NA,NA,NA,6,-2,1,0
900555,1939,1,-2,4,18,-2,-2,120,0,NA,0,0,0,2,-30,-30,1,5,-2,1,2
900560,1939,1,2019,3,-3,-2,-2,130,0,NA,6,0,NA,5,6,-2,-29,NA,NA,NA,NA
900566,1938,1,2018,6,-3,-2,2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900570,1939,1,-2,2,7,-2,-2,180,-2,NA,NA,NA,NA,3,0,-2,NA,4,4,1,0
900572,1939,2,-2,9,24,-2,-2,0,-2,3,-2,-2,2,5,-2,-2,2,1,-2,1,0
900579,1939,2,-2,6,204,4,8,140,0,4,12,0,4,3,9,-2,8,11,2,1,2
900581,1939,2,-2,5,-3,-2,-2,0,0,2,0,0,3,6,10,-2,1,8,1,1,0
900589,1939,1,2012,2,-3,-2,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900590,1938,1,2018,6,31,-2,-2,120,0,2,0,0,2,4,2,-2,3,NA,NA,NA,NA
900594,1939,2,2020,2,-3,-2,-2,60,0,4,6,0,16,1,5,-2,15,NA,NA,NA,NA
900599,1939,1,2005,3,21,-2,-2,76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900601,1939,1,-2,5,60,-2,-2,100,0,NA,0,0,3,0,5,-2,2,0,5,1,3
900606,1939,2,2019,2,29,-2,-2,0,0,3,NA,NA,4,4,-2,-2,6,NA,NA,NA,NA
900610,1938,2,1994,5,50,-2,-2,0,-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900614,1939,2,2022,4,53,-2,-2,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900620,1939,2,-2,9,-3,-2,-2,20,0,5,9,0,8,3,9,-2,12,8,-2,1,7
900621,1939,2,-2,4,46,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900622,1939,2,-2,5,36,3,6,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900623,1939,2,2014,6,61,-2,-2,48,0,0,6,0,2,4,10,-2,-29,NA,NA,NA,NA
900629,1939,1,-2,2,44,-2,-2,119,0,2,11,0,4,2,10,-2,2,6,-2,1,4
900630,1939,2,-2,2,15,-2,-2,3,0,2,8,0,1,2,10,-2,4,8,-2,1,1
900633,1939,2,2017,6,-3,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900634,1939,1,-2,3,16,3,7,210,0,1,8,0,NA,4,8,-2,2,6,-2,2,4
900636,1939,1,2000,4,13,-2,-2,92,-2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900639,1939,2,-2,6,86,-2,-2,0,0,10,8,0,6,7,6,-2,NA,NA,NA,NA,NA
900649,1938,1,-2,5,53,-2,0,120,0,9,0,0,3,4,10,-2,6,5,-2,1,0
900652,1939,2,2014,5,26,2,4,0,0,NA,-5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
900653,1939,2,2009,9,20,-2,0,0,0,4,6,-2,3,NA,NA,NA,NA,NA,NA,NA,NA
900657,1939,2,-2,3,-3,-2,-2,6,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA
900667,1939,1,-2,3,49,-2,-2,190,0,2,6,0,1,4,8,-2,-29,7,-2,1,0
900669,1940,2,2019,9,80,-2,-2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900674,1939,2,-2,3,-3,-2,-2,25,-2,NA,-2,-2,7,4,-2,-2,4,NA,NA,NA,NA
900676,1939,2,2007,4,49,-2,3,0,6,0,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA
900678,1939,1,2003,4,31,-2,-2,120,-2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900689,1939,1,2020,3,54,-2,0,175,0,1,7,0,0,3,6,-2,-29,NA,NA,NA,NA
900690,1939,1,-2,2,18,-2,-2,190,5,10,7,0,1,3,6,-2,2,0,-2,1,4
900693,1939,1,-2,6,68,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900695,1939,1,-2,5,33,-2,-2,122,-2,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
900704,1939,1,2022,5,78,3,9,250,-2,4,NA,NA,3,2,-2,-2,8,NA,NA,NA,NA
900706,1938,1,-2,5,-3,-2,-2,130,-2,2,-2,-2,0,3,-2,-2,2,NA,NA,NA,NA
900710,1939,1,-2,9,71,-2,-2,150,0,8,12,2,10,3,6,-2,10,0,-2,1,3
900716,1939,2,-2,3,58,-2,-2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
900719,1939,1,2004,2,63,2,4,125,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900720,1939,1,-2,6,71,3,6,200,0,4,9,0,1,2,5,-2,8,0,-2,1,0
900724,1939,2,-2,3,61,-2,-2,0,6,3,11,0,3,4,11,-2,2,7,4,1,1
900726,1939,1,-2,3,78,-2,1,0,0,3,6,0,4,NA,NA,NA,NA,NA,NA,NA,NA
900727,1939,1,-2,9,76,-2,2,140,0,7,7,0,2,4,10,-2,1,9,-2,3,1
900728,1939,1,-2,2,67,2,5,150,-2,1,-2,-2,1,NA,NA,NA,NA,NA,NA,NA,NA
900731,1939,1,-2,2,9,2,5,110,0,2,10,0,6,2,10,-2,4,5,-2,1,4
900732,1939,2,-2,6,58,-2,-2,0,-2,NA,-2,-2,NA,8,-2,-2,2,NA,NA,NA,NA
900740,1939,1,2021,8,83,3,7,110,0,NA,8,0,2,2,6,5,3,NA,NA,NA,NA
900741,1939,2,-2,2,13,-2,-2,0,-2,4,-2,-2,5,2,-30,-30,2,NA,NA,NA,NA
900743,1939,2,-2,2,51,-2,-2,97,0,3,6,0,-3,2,4,-2,5,5,-2,1,0
900749,1939,1,1990,7,80,-2,2,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900751,1938,2,-2,7,85,-2,-2,140,-2,10,4,-2,12,1,4,-2,4,0,-2,1,1
900753,1939,1,2021,4,13,-2,-2,245,0,2,4,0,2,4,0,-2,4,NA,NA,NA,NA
900758,1938,2,-2,9,87,-2,-2,0,6,NA,2,0,NA,7,6,-2,2,8,-2,1,6
900760,1939,1,-2,5,47,-2,-2,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900762,1939,2,-2,2,-3,-2,0,10,0,4,12,0,4,7,8,-2,8,9,-2,1,15
900764,1939,2,-2,9,67,-2,-2,0,0,1,9,0,2,6,10,-2,8,6,-2,1,0
900772,1939,1,-2,6,-3,2,3,240,-2,2,-2,-2,4,NA,NA,NA,NA,NA,NA,NA,NA
900773,1939,2,2005,4,55,2,4,21,0,2,10,0,2,NA,NA,NA,NA,NA,NA,NA,NA
900776,1940,1,-2,8,63,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900778,1939,2,-2,2,25,-2,-2,35,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900781,1938,1,-2,2,29,-2,-2,132,-2,8,-2,-2,NA,3,-2,-2,2,NA,NA,NA,NA
900782,1939,2,2018,9,56,-2,-2,0,0,4,NA,NA,NA,5,6,-2,1,NA,NA,NA,NA
900784,1938,2,-2,5,38,-2,-2,0,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
900789,1940,2,1982,4,39,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900791,1939,1,2012,5,17,-2,-2,100,4,0,2,0,-3,NA,NA,NA,NA,NA,NA,NA,NA
900800,1939,1,2014,6,55,1,3,160,0,6,11,0,2,2,3,-2,-29,NA,NA,NA,NA
900801,1938,1,-2,9,74,-2,1,125,0,1,8,0,1,3,8,-2,1,6,-2,1,1
900804,1939,1,-2,2,70,4,7,260,-2,3,-2,-2,2,3,-2,-2,2,NA,NA,NA,NA
900805,1939,1,2008,6,62,2,5,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900808,1939,2,2019,2,9,-2,-2,0,0,7,8,0,4,2,6,-2,6,NA,NA,NA,NA
900809,1939,2,-2,6,66,-2,1,40,7,NA,0,5,2,3,6,-2,2,10,-2,2,0
900812,1939,2,2022,2,86,-2,-2,0,0,5,10,0,1,2,6,-2,1,0,-2,1,6
900813,1938,1,2013,6,35,-2,1,270,0,15,-5,-5,2,NA,NA,NA,NA,NA,NA,NA,NA
900814,1939,2,-2,3,14,-2,-2,0,-2,3,-2,-2,10,10,-2,-2,16,NA,NA,NA,NA
900828,1939,1,-2,2,-3,3,6,125,0,2,8,0,3,2,4,-2,3,3,-2,2,25
900829,1938,1,-2,7,-3,-2,0,120,0,8,6,0,8,3,6,-2,4,6,-2,1,2
900830,1939,1,-2,6,66,-2,-3,-3,0,NA,7,0,NA,1,4,-2,NA,0,-2,1,0
900832,1940,1,2019,3,116,4,8,158,0,1,8,0,1,2,5,-2,5,NA,NA,NA,NA
900833,1938,2,-2,8,73,-2,-2,60,-2,2,-2,-2,5,2,-2,-2,NA,NA,NA,NA,NA
900835,1939,1,2017,4,-3,-2,-2,102,0,0,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA
900838,1939,2,2001,2,31,-2,-2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900842,1939,2,-2,6,93,-2,0,0,0,NA,8,0,10,3,4,-2,NA,NA,NA,NA,NA
900843,1939,2,-2,6,37,2,4,90,3,3,12,3,0,5,6,-2,0,-2,-2,2,4
900846,1939,2,-2,4,18,-2,-2,0,-2,4,-2,-2,1,2,-2,-2,2,NA,NA,NA,NA
900847,1938,1,2013,4,44,-2,-2,0,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
900848,1939,2,2022,7,20,-2,-3,-3,0,1,10,0,4,4,7,-2,0,NA,NA,NA,NA
900849,1939,1,2008,4,39,-2,-2,150,0,3,-3,5,4,NA,NA,NA,NA,NA,NA,NA,NA
900851,1939,1,-2,6,48,-2,-2,125,0,6,11,0,2,2,9,-2,2,6,-2,1,0
900853,1939,2,-2,9,-3,-2,-2,60,0,1,11,0,0,2,7,-2,-29,NA,NA,NA,NA
900854,1938,2,2007,8,50,-2,1,0,-2,4,-2,-2,2,NA,NA,NA,NA,NA,NA,NA,NA
900859,1939,2,-2,6,37,-2,0,8,6,4,10,0,4,3,9,-2,NA,NA,NA,NA,NA
900860,1939,2,1975,9,84,-2,-2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900866,1938,1,2020,9,45,-2,-2,130,NA,NA,-2,-2,0,5,-2,-2,3,NA,NA,NA,NA
900867,1938,1,-2,6,67,-2,0,468,0,5,4,0,4,3,6,-2,8,NA,NA,NA,NA
